relation,code,count
of,n,18
of,t,4
of,o,0
of,q,0
of,a,0
of,s,0
of,r,0
of,p,0
of,d,0
in,n,145
in,t,3
in,o,0
in,q,0
in,a,0
in,s,0
in,r,0
in,p,0
in,d,0
within,n,1
within,t,2
within,o,0
within,q,0
within,a,0
within,s,0
within,r,0
within,p,0
within,d,0
for,n,0
for,t,0
for,o,0
for,q,0
for,a,0
for,s,0
for,r,0
for,p,0
for,d,0
by,n,0
by,t,0
by,o,0
by,q,0
by,a,0
by,s,0
by,r,0
by,p,0
by,d,0
per,n,0
per,t,0
per,o,0
per,q,0
per,a,0
per,s,0
per,r,0
per,p,0
per,d,0
