intent,relation,object,distance,qid,code
trajectory,of,hurricane,1,30,o
condition,of,water,3,59,o
condition,of,treatment,2,59,o
condition,of,plant,1,59,o
pattern,of,public,2,62,o
pattern,of,spending,1,62,o
relationship,between,local,9,67,o
relationship,between,microclimate,8,67,o
relationship,between,local,6,67,o
relationship,between,factories,5,67,o
relationship,between,social,2,67,o
relationship,between,structure,1,67,o
need,to,adapt,1,68,o
consequences,of,farming,3,76,o
consequences,of,forestry,1,76,o
flow,of,traffic,1,82,o
pattern,of,land,2,87,o
pattern,of,use,1,87,o
flows,of,traffic,1,88,o
route,by,road,1,104,o
relationship,between,hotel,5,107,o
relationship,between,room,4,107,o
relationship,between,prices,3,107,o
relationship,between,proximity,1,107,o
route,for,ski,2,108,o
route,for,bus,1,108,o
pattern,of,accidents,1,110,o
effect,of,road,2,112,o
effect,of,widening,1,112,o
consequences,of,continuing,3,113,o
consequences,of,recreational,2,113,o
consequences,of,activity,1,113,o
trend,in,crimes,1,136,o
rate,of,water,4,139,o
rate,of,removal,3,139,o
rate,of,with,2,139,o
rate,of,water wells,1,139,o
mileage,of,asphalt,2,140,o
mileage,of,streets,1,140,o
rate,of,arsons,6,141,o
rate,of,given,5,141,o
rate,of,all,4,141,o
rate,of,fire,3,141,o
rate,of,department,2,141,o
rate,of,responses,1,141,o
relationship,between,average,3,142,o
relationship,between,monthly,2,142,o
relationship,between,sales,1,142,o
relationship,between,locations,1,143,o
distribution,by,age,1,146,o
trend,in,city,1,147,o
concentration,of,various,3,148,o
concentration,of,ethnic,2,148,o
concentration,of,groups,1,148,o
results,for,individual,2,153,o
results,for,candidates,1,153,o
portions,of,energy,2,154,o
portions,of,coming,1,154,o
density,by,census,2,155,o
density,by,block,1,155,o
density,of,robberies,1,156,o
density,of,rental,2,158,o
density,of,units,1,158,o
density,of,registered,3,159,o
density,of,voters,2,159,o
density,of,relative,1,159,o
density,of,trees,1,160,o
density,of,elms,4,161,o
density,of,crape,2,161,o
density,of,myrtles,1,161,o
surface,of,rainfall,2,162,o
surface,of,based,1,162,o
concentration,of,fire,3,163,o
concentration,of,incident,2,163,o
concentration,of,calls,1,163,o
trends,for,each,3,164,o
trends,for,year,2,164,o
trends,for,tornadoes,1,164,o
relationship,between,clusters,1,167,o
relationship,between,clusters,1,170,o
acreage,for,each,5,174,o
acreage,for,land,4,174,o
acreage,for,use,2,174,o
acreage,for,type,1,174,o
breakdown,of,area,1,179,o
boundaries,for,schools,1,181,o
percentage,of,each,8,184,o
percentage,of,land,7,184,o
percentage,of,use,5,184,o
percentage,of,type,4,184,o
percentage,of,notification,2,184,o
percentage,of,zone,1,184,o
