intent_code,all_code,qid
1t,1torn,1
1t,1toadrn,2
1t,1trnot,9
1t,1taornot,10
1t,1trtrnot,11
1o,1otrnot,12
1o,1otrnot,13
1o,1potrnot,14
1oooo,1potooornot,15
1t,1trpotrnot,16
1t,1tpoorn,17
1t,1tpoorn,19
1t,1tpoorn,20
1t,1tpoorn,21
1oo,1oorn,28
1o,1oarn,29
1o,1orn,31
1o,1porn,32
1t,1qtrn,36
1o,1otpoorn,43
1t,1qtrn,44
1t,1qtrn,45
1t,1trorn,46
1t,1toooorn,47
1t,1ptopo,50
1t,1to,58
13,1torn3ooos,69
1oo,1poosrn,70
1oo,1oon,71
1oo,1oopos,72
1o,1oporortt,73
1t,1tsrn,77
1oo,1ootsrn,78
1o,1otrn,79
1o,1sotrrotqpoo,80
1o,1oqtrrqtrn,81
1o,1ott,85
13,1t3ts,86
1o,1otrtqorport,91
1t,1trtppooqoo,92
1o,sot1,93
1o,1otrornot,96
1t,1trtrnot,97
1o,1pots,102
1o,1pot,106
1o,1oposppos,114
1t,1ts,115
1t,1qtopoo,116
1t,1qtratspoo,125
1t,1qtatorn,127
1t,1qtraotspoorn,129
1o,1notaqooo,130
1t,1qtatppo,131
1t,1qtooppo,132
1oo,1oosrn,166
1o,1osoorn,168
1ooo,1pooos,171
1o,1opoorn,172
1t,1qqtoorn,173
1t,1troooaorotsoooo,191
1t,1tpoornno,258
1t,1qtsrn,321
1oo,1ootrn,322
1o,1otsrn,323
1t,1tpootrnnnn,331
1oo,1qqoortrnnnn,332
1o,1potrntd,339
1t,1qtrqttrnot,346
1oo,1oornot,347
1oo,1ootrornot,348
1o,1pportttrnot,349
1o,1oaoo,369
1o,1oaoo,370
1o,1pppopporn,375
1oo,1pootrn,381
1ooo,1pooornd,391
1t,1qtrn,405
1t,1qqtrn,406
1t,1tqoornn,409
1t,1tqrarn,420
1t,1tooosrnnn,423
1t,rn1tpoooot,426
