intent,qid,code
form,28,o
hurricane,29,o
hurricane,32,o
concentrations,70,o
glaciers,71,o
changes,72,o
there,73,o
there,81,o
there,91,o
damage,114,o
force,130,o
calls,166,o
customers,168,o
oil,171,o
clusterings,172,o
reserves,322,o
resources,347,o
hurricane,348,o
features,349,o
clusters,369,o
clusters,370,o
hotspots,391,o
houses,1,t
houses,2,t
shops,10,t
cafes,11,t
pistes,12,t
piste,14,t
piste,15,t
hotel,16,t
neighborhood,17,t
neighborhood,19,t
neighborhood,20,t
neighborhood,21,t
areas,36,t
area,43,t
areas,44,t
park,45,t
freeways,46,t
freeways,47,t
site,50,t
houses,58,t
areas,69,t
landscape conservation zones,77,t
settlements,78,t
land,81,t
region,86,t
area,92,t
hotels,96,t
areas,97,t
piste,102,t
piste,106,t
landscape conservation zones,115,t
location,116,t
place,125,t
place,127,t
places,129,t
department,130,t
place,131,t
place,132,t
houses,191,t
sites,258,t
area,321,t
areas,323,t
clinics,331,t
locations,346,t
regions,381,t
areas,405,t
enterprises,406,t
areas,409,t
neighborhoods,420,t
facilities,423,t
